,tu,đinh_nghia,điểm
5195,kĩu kịt,tiếng đôi quang cọ vào đòn gánh khi gánh nặng,0.0
5196,khổ hạnh,quan niệm sống khắc khổ của những nhà tu hành,-0.6
5197,cô lập,"tách riêng khỏi mối liên hệ, làm cho trơ trọi",-0.8
5198,khước,"phúc lành do thần thánh mang lại, theo mê tín",0.7
5199,khuôn,dụng cụ để tạo ra vật có hình dạng giống nhau,0.0
5200,tập,"chồng giấy tờ nhỏ, cùng loại, cùng kích thước",0.0
5201,nội san,"tập san ra định kì, chỉ lưu hành trong nội bộ",0.0
5202,chơi,"có quan hệ cùng chung thú vui, thú tiêu khiển",0.4
5203,giá buốt,cái lạnh thấm vào tận xương gây cảm giác buốt,-0.7
5204,đái,thải ra ngoài chất nước bã do thận lọc từ máu,0.0
5205,đả đảo,khẩu hiệu biểu thị sự chống đối khi đấu tranh,-0.6
5206,ra ràng,"chim non vừa đủ lông đủ cánh, bắt đầu tập bay",0.2
5207,rèn,"luyện cho cho thành thạo, cho có đức tính tốt",0.7
5208,lê dương,lính đánh thuê trong quân đội viễn chinh Pháp,-0.2
5209,huyền diệu,lạ lùng đến mức con người không hiểu hết được,0.7
5210,tự tân,tự sửa đổi bản thân để không mang tiếng cổ hủ,0.6
5211,gia nhân,"(từ cũ) người giúp việc trong nhà, thời trước",0.0
5212,già đời,nhiều kinh nghiệm và sành sỏi trong công việc,0.6
5213,giản phổ,phép kí âm đơn giản bằng chữ số trong âm nhạc,0.0
5214,ngữ nghĩa học,môn học chuyên nghiên cứu về ngữ nghĩa của từ,0.0
5215,mỏ ác,xương nối các đầu sườn ở phía trước lồng ngực,0.0
5216,gá,gửi tạm đồ cho người khác làm tin để vay tiền,0.0
5217,đứng,"giữ thế lưng thẳng, bàn chân đặt trên mặt nền",0.0
5218,đụng,góp vào mỗi người một phần để tổ chức ăn uống,0.3
5219,giáo mác,"giáo và mác, nói khái quát; binh khí thời xưa",-0.4
5220,hoàng giáp,"người đỗ kỳ thi đình, được xếp là đệ nhị giáp",0.7
5221,trung kiên,"cốt cán trong một hoạt động xã hội, chính trị",0.6
5222,trung đội,"đơn vị quân đội dưới đại đội, gồm ba tiểu đội",0.0
5223,khất thực,(nói về sư sãi) đi xin của bố thí của bá tánh,0.0
5224,chuyên gia,"người đi sâu vào một ngành khoa học, kỹ thuật",0.6
5225,học phái,nhóm người cùng theo xu hướng học thuật riêng,0.0
5226,trí,"khả năng nhận thức, suy xét,... của con người",0.8
5227,triển lãm,"trưng bày để giới thiệu, để mọi người đến xem",0.3
5228,trị số,giá trị cho bằng số; giá trị biểu thị bằng số,0.0
5229,niên biểu,bảng ghi năm tháng của các sự kiện lớn xảy ra,0.0
5230,trung tướng,"bậc quân hàm dưới đại tướng, trên thiếu tướng",0.0
5231,trưởng bạ,"người giữ sổ sách trong làng, thời phong kiến",0.0
5232,hiệp hội,tổ chức quần chúng gồm nhiều đoàn thể hợp lại,0.0
5233,hiện tượng,"diễn biến sự việc trong không gian, thời gian",0.0
5234,nón lông,"nón của đàn ông ngày xưa, làm bằng lông ngỗng",0.0
5235,túc khiên,"tội lỗi từ kiếp trước, quan niệm của đạo Phật",-0.5
5236,quen,"thành nếp trong sinh hoạt, đời sống hàng ngày",0.0
5237,danh hiệu,"dành cho cá nhân, đơn vị đạt nhiều thành tích",0.7
5238,đoàn tụ,sum họp gia đình sau một thời gian bị xa cách,0.9
5239,minh chủ,"người đứng đầu một liên minh, thời phong kiến",0.0
5240,đặc biệt,khác với bình thường về chức năng hoặc mức độ,0.2
5241,giấy dầu,"giấy có phết hắc ín, để bao gói, chống ẩm ướt",0.0
5242,giấy nháp,giấy để viết thảo trước khi viết lại cẩn thận,0.0
5243,cồm cộm,cảm giác khó chịu do có gì đó vướng trong mắt,-0.6
5244,nhà khách,"nhà dùng tiếp khách của chính quyền, đoàn thể",0.0
5245,kịch nói,"loại kịch dùng lời nói, hành động để biểu đạt",0.0
5246,tám,"tên gọi một số thứ lúa tẻ, gạo hạt nhỏ và dài",0.0
5247,phân hoá,chuyển một khối thành nhiều bộ phận khác nhau,0.0
5248,tục lệ,thói quen có từ lâu đời trong đời sống xã hội,0.0
5249,nón dấu,"nón của binh lính thời xưa, bằng tre, có chóp",0.0
5250,làn,từ chỉ những vật có chuyển động nối tiếp nhau,0.0
5251,số phức,(toán học) tổng của một số thực với một số ảo,0.0
5252,dột,"chỗ hở trên mái nhà, khiến nước mưa nhỏ xuống",-0.5
5253,cố quốc,đất nước trong trí nhớ của người đi xa từ lâu,0.3
5254,tử tội,người mang án tử hình; tội đền bằng sinh mạng,-0.9
5255,từ học,môn học nghiên cứu về các vật liệu có từ tính,0.0
5256,tứ chi,"hai tay hai chân (người), bốn chân (động vật)",0.0
5257,kết hợp,làm thêm việc gì nhân tiện khi làm việc chính,0.2
5258,cô,"người con gái hoặc phụ nữ còn trẻ, chưa chồng",0.0
5259,kiến thức,"những hiểu biết có được do từng trải, học tập",0.8
5260,chậm,"có tốc độ, nhiệt độ thấp dưới mức bình thường",0.0
5261,tuần,đi xem xét trong một khu vực nhằm giữ an ninh,0.4
5262,dạn,quen vì đã chịu đựng nhiều tác động nguy hiểm,0.5
5263,bất tỉnh,"thần kinh bị ức chế, mê man không biết gì nữa",-0.7
5264,bồn chồn,"nôn nao, thấp thỏm, không yên tâm một việc gì",-0.7
5265,ghì,"giữ thật chặt, làm cho không thể cử động được",0.0
5266,ghi âm,"thu tiếng vào băng đĩa, để nghe hoặc phát lại",0.0
5267,bì,"lớp ngoài của vỏ một số quả, một số cây giống",0.0
5268,kim đồng,"trẻ em theo hầu các vị tiên, trong thần thoại",0.4
5269,phong dao,bài hát dân gian không có điệp khúc nhất định,0.3
5270,phong bì,tiền biếu hoặc trả thù lao về một việc nào đó,0.1
5271,thương thuyết,"đàm phán, trao đổi nhằm đi tới một thoả thuận",0.3
5272,kính,"thuỷ tinh, được dùng vào nhiều việc khác nhau",0.0
5273,phòng ngự,chuẩn bị đánh trả sức tấn công của đối phương,0.2
5274,uy tín,"tạo được sự tín nhiệm, mến phục của mọi người",0.9
5275,bếp,lính hạng nhất trong quân đội thời phong kiến,0.0
5276,phục kích,bố trí lực lượng chờ sẵn địch để đánh bất ngờ,-0.6
5277,cảm tình,"tình cảm tốt đối với người, sự vật xung quanh",0.7
5278,quào,cào cho xước thành vệt dài bằng các móng nhọn,-0.4
5279,phụt,"thoát ra nhanh và mạnh thành tia, thành luồng",0.0
5280,sơn quân,(từ cũ) cọp được coi là chúa tể vùng rừng núi,0.3
5281,phục thiện,"chịu công nhận và nghe theo điều hay, lẽ phải",0.7
5282,nhãn hiệu,dấu hiệu riêng của nhà sản xuất trên sản phẩm,0.0
5283,giải trừ,"loại bỏ, làm cho không còn tác dụng, hiệu lực",0.0
5284,giới nghiêm,thi hành quân lực trong một khu vực nhất định,-0.7
5285,gương mẫu,được coi là khuôn phép để người khác noi theo,0.8
5286,tru di,giết kẻ bị án tử hình và cả gia đình người đó,-1.0
5287,trồi,từ bên trong hoặc bên dưới nhô hẳn lên bề mặt,0.0
5288,tướng công,"từ gọi tôn kính người làm quan to, thời trước",0.4
5289,tám thơm,"thứ lúa, gạo khi nấu cơm có mùi thơm đặc biệt",0.3
5290,phún xuất,các chất từ lòng đất phun ra từ miệng núi lửa,0.0
5291,sứ quán,tên chung các cơ quan ngoại giao ở nước ngoài,0.0
5292,giống đực,phạm trù ngữ pháp trái với những từ giống cái,0.0
5293,giả định,"coi điều nào đó là có thật, lấy đó làm căn cứ",0.0
5294,cụm,"nhiều người, nhiều vật cùng loại cùng một nơi",0.0
5295,giỗ hậu,"giỗ người chết có tài sản cúng cho đình, chùa",0.0
5296,yếu nhân,Nhân vật quan trọng (trong trường chính trị).,0.5
5297,giày vò,"làm cho phải suy nghĩ, phải day dứt, buồn rầu",-0.8
5298,giạng,đưa rộng ra hai bên cho có khoảng cách ở giữa,0.0
5299,xoáy,"Chỗ có nước chảy xoay tròn, trũng sâu ở giữa.",0.0
5300,cu,từ chỉ bố đứa con trai đầu lòng (ở nông thôn),0.0
5301,mẹ đĩ,"người phụ nữ có con gái đầu lòng, ở nông thôn",-0.8
5302,giật giải,đoạt được giải thưởng nào đó trong một kỳ thi,0.7
5303,vũ trụ,"Khoảng không gian vô cùng, chứa các thiên hà.",0.0
5304,đít,"phần dưới cùng ở phía sau của người, động vật",-0.1
5305,tự ký,máy có thể tự ghi những con số lên một đồ thị,0.0
5306,thay chân,làm công việc của người không còn giữ chức cũ,0.0
5307,thất bát,mùa màng thu hoạch kém hơn so với bình thường,-0.7
5308,đám ma,đưa người chết đến nghĩa trang chôn; đám tang,-0.6
5309,ám sát,"giết người một cách bí mật, có mưu tính trước",-0.9
5310,mưa lũ,mưa từ trên rừng núi dồn nước xuống miền xuôi,-0.6
5311,xông,"Mối đùn đất bắt vào đồ đạc, làm cho hư hỏng.",-0.5
5312,mưa ngâu,mưa kéo dài nhiều ngày vào tháng bảy âm lịch,0.0
5313,tóp,nhỏ đi và nhăn nheo do khô héo hoặc mất nước,-0.6
5314,tít mắt,thích thú đến mức như không còn thấy được gì,0.8
5315,thông điện,bức điện gửi cho mọi nơi để báo gấp một việc,0.0
5316,thổ phục linh,"cây thuộc họ hành tỏi, củ làm thuốc trị bệnh",0.1
5317,thổ phỉ,giặc cướp chuyên hoạt động ở địa phương mình,-0.8
5318,nản,không muốn tiếp tục vì khó khăn hoặc mệt mỏi,-0.7
5319,mượn cớ,vịn vào điều gì để làm việc không chính đánh,-0.6
5320,mượn,lấy của người khác một thời gian rồi trả lại,0.0
5321,tiêu pha,dùng tiền chi tiêu cho các nhu cầu sinh hoạt,0.0
5322,thất sủng,"(từ cũ) không còn được yêu mến, tin dùng nữa",-0.7
5323,bồi,người đàn ông chuyên phục vụ trong khách sạn,0.0
5324,răng nanh,"răng nhọn, sắc giữa các răng cửa và răng hàm",0.0
5325,thần phục,(từ cũ) chịu phục tùng và tự nhận làm bề tôi,-0.3
5326,lợn lòi,"lợn rừng, mõm dài, nanh lớn chìa ra khỏi mép",0.0
5327,nhân mãn,người quá nhiều so với điều kiện thiên nhiên,-0.6
5328,bình tĩnh,không nao núng tình cảm trước biến cố xảy ra,0.7
5329,giáp trận,đánh giáp mặt nhau với quân địch khi ra trận,-0.7
5330,cơm,"gạo nấu chín, thức ăn chính của người Á đông",0.0
5331,xì gà,"Thuốc cuốn bằng lá cây thuốc lá, không thái.",-0.2
5332,giảng dạy,giảng để truyền thụ tri thức (nói khái quát),0.6
5333,trút,"làm cho chảy xuống, rơi xuống nhiều cùng lúc",0.0
5334,nhất viện chế,"chế độ đại nghị, chỉ có một cơ quan lập pháp",0.0
5335,vết,Hình còn để lại sau khi một vật khác đi qua.,-0.2
5336,vỏ,Phần cứng bên ngoài của một số động vật nhỏ.,0.0
5337,phê phán,phân tích ra cái sai để đánh giá hoặc lên án,-0.6
5338,văn phong,Bút pháp; cách viết văn riêng của mỗi người.,0.0
5339,trợn trừng,"mắt nhìn không chớp, vẻ tức giận hoặc sợ hãi",-0.7
5340,nhọt,nốt sưng tấy nổi ngoài da do vi trùng gây ra,-0.6
5341,côn quyền,"các môn võ nghệ Á Đông, đánh bằng gậy và tay",0.0
5342,hạn chế,"những giới hạn nhất định, không thể vượt qua",-0.5
5343,cáo thị,thông báo của chính quyền cho mọi người biết,0.0
5344,tảng,"khối vật rắn, có diện tích hoặc thể tích lớn",0.0
5345,kinh,sách do các nhà triết học cổ Trung Quốc soạn,0.0
5346,phủ đầu,áp đảo tinh thần từ đầu để chặn mọi phản ứng,-0.7
5347,sưng phổi,"bệnh làm cho sốt, tức ngực, có khi ho ra máu",-0.8
5348,gỗ dán,ván do nhiều lớp gỗ mỏng dán ép lại với nhau,0.0
5349,vua,Nhà tư bản độc quyền trong một ngành nào đó.,-0.1
5350,truy điệu,làm lễ tỏ lòng thương tiếc người mới qua đời,-0.6
5351,cơ hội,dịp thuận tiện xảy ra đúng lúc để thành công,0.8
5352,táu,"cây có gỗ quý, màu nâu nhạt, quả có hai cánh",0.1
5353,ma cà bông,kẻ sống lang thang bằng những việc phạm pháp,-0.8
5354,phục hưng,làm hưng thịnh trở lại sau thời gian suy tàn,0.8
5355,kính tiềm vọng,dụng cụ để nhìn vượt qua các vật chướng ngại,0.0
5356,cánh cửa,tấm gỗ hoặc tấm kim loại để đóng hoặc mở cửa,0.0
5357,phóng uế,"đi tiểu, đi đại tiện không đúng nơi đúng chỗ",-0.6
5358,phế lập,"bỏ vua này, lập vua khác (chế độ phong kiến)",0.0
5359,tác giả,"người sáng tạo ra những tác phẩm, nghệ thuật",0.5
5360,lãnh binh,"chức quan võ trong một tỉnh, thời phong kiến",0.0
5361,mề đay,"huân chương hoặc huy chương, thời Pháp thuộc",0.6
5362,mê,"đồ đan bằng tre, nứa có vành tròn đã mất cạp",0.0
5363,y học,Khoa học nghiên cứu cách phòng và chữa bệnh.,0.7
5364,góp,đưa phần của mình vào để tạo thành cái chung,0.6
5365,bứt rứt,"cảm giác trong lòng thấy khó chịu, băn khoăn",-0.7
5366,bản quyền,quyền lợi riêng của tác giả hay nhà xuất bản,0.0
5367,hàng ngũ,đoàn người được xếp đặt thứ tự theo đội hình,0.0
5368,hiếp,"dùng sức mạnh, uy quyền bắt phải theo ý mình",-0.9
5369,kết tủa,chất rắn có trong dung dịch và bị lắng xuống,0.0
5370,thương chiến,cạnh tranh buôn bán gay gắt giữa một số nước,-0.7
5371,giếng,hố đào sâu xuống lòng đất lấy mạch nước ngầm,0.0
5372,bi kịch,thể loại kịch tả nỗi đau thương của nhân vật,-0.8
5373,bi ca,chất muối nát-tri thường dùng làm thuốc tiêm,0.0
5374,thức tỉnh,làm trỗi dậy vốn hiểu biết và có ý hành động,0.7
5375,thừa trừ,"luật bù trừ, hễ được cái này thì mất cái kia",0.0
5376,tao khang,tình nghĩa vợ chồng gắn bó từ thuở nghèo nàn,0.9
5377,tạp vụ,"công việc lặt vặt trong một cơ quan, công sở",0.0
5378,cao lương,"cây cùng họ lúa, thân và lá lớn, hạt to tròn",0.0
5379,tùng đàm,(từ cũ) mục báo tập hợp những chuyện lặt vặt,0.0
5380,tum,"buồng nhỏ, dùng che cầu thang lên sân thượng",0.0
5381,số thực,(toán học) tập hợp của số hữu tỉ và số vô tỉ,0.0
5382,lão,người đàn ông thuộc lớp già (ý khinh thường),-0.7
5383,dương,lớn hơn số không và mang dấu cộng phía trước,0.0
5384,ghen ghét,ghen tị mà sinh ra ghét vì người ta hơn mình,-0.8
5385,cử tri,người đi bỏ phiếu trong cuộc bầu cử đại biểu,0.0
5386,cay độc,"thâm hiểm, làm cho người khác đau đớn cực độ",-0.9
5387,sĩ khí,"lòng thẳng thắn, cứng cỏi của kẻ sĩ, nhà nho",0.7
5388,rung động,chuyển động liên tiếp do một tác động nào đó,0.0
5389,rỉ,thấm từng tí một qua kẻ hở hoặc lỗ thủng nhỏ,-0.2
5390,người nhà,người mượn làm những việc nhỏ trong gia đình,0.0
5391,eo sèo,"mô phỏng tiếng ồn ào, lộn xộn từ xa vọng lại",-0.5
5392,đá,"keo kiệt, riết róng trong tiêu pha, chi dùng",-0.7
5393,nhà dưới,"nhà phụ, không phải nơi thờ cúng, tiếp khách",0.0
5394,nhà chung,nơi ở và làm việc của giáo sĩ đạo Thiên chúa,0.0
5395,nhà chùa,nơi thờ Phật và những người tu theo đạo Phật,0.0
5396,tuyệt mệnh,lời nói để lại khi quyết định từ bỏ cuộc đời,-0.9
5397,Cửu kinh,(từ cũ) chín quyển sách căn bản của Nho giáo,0.0
5398,gạn,"chắt phần nước nổi lên trên, phần cái để lại",0.0
5399,cùng,người hay sự vật có tính chất chung với nhau,0.0
5400,nhà tu,nơi ở của những người tu hành theo Công giáo,0.0
5401,khuyến nông,tạo điều kiện thuận lợi sản xuất nông nghiệp,0.6
5402,khuyên giải,làm cho khuây khoả bằng lời lẽ có tình có lý,0.7
5403,học chính,"ngành phụ trách về giáo dục, thời Pháp thuộc",0.0
5404,trích tiên,"vị tiên bị giáng xuống trần, theo thần thoại",0.0
5405,trừ phục,(từ cũ) lễ bỏ đồ tang khi hết trở (mãn tang),0.0
5406,khảo của,dùng hung bạo bắt người ta nói ra nơi để của,-0.9
5407,con ở,người hầu gái; người đầy tớ gái; nhưcon nhài,0.0
5408,chữ cái,kí hiệu dùng ghi âm vị trong chữ viết ghi âm,0.0
5409,trung châu,miền đất không giáp núi cũng không giáp biển,0.0
5410,bia miệng,tiếng xấu lưu lại từ thời này sang thời khác,-0.8
5411,bí quyết,điều có quyết định đối với kết quả công việc,0.3
5412,rờ rẫm,lần tay để nhận biết khi không thể nhìn thấy,0.0
5413,róc,tách bỏ phần bên ngoài của vật bằng lưỡi sắc,0.0
5414,hỗn mang,"thời đại nguyên thuỷ, chưa có tổ chức xã hội",-0.4
5415,cương,tự đặt lời cho vai mình đóng khi ra sân khấu,0.0
5416,đính,"gài, khâu một vật cho dính liền vào vật khác",0.0
5417,già nua,"quá già và yếu sức, không còn nhiều sức sống",-0.7
5418,đạp thanh,"vào mùa xuân, nhân tiết thanh minh đi tảo mộ",0.0
5419,ngữ âm học,bộ môn chuyên nghiên cứu ngữ âm của ngôn ngữ,0.0
5420,quyết định,nguyên nhân trực tiếp của thay đổi cuối cùng,0.0
5421,trủ,"đồ dệt bằng tơ thô, tơ gốc, làm lưới đánh cá",0.0
5422,trống phách,"tiếng trống, nhạc trong các đình đám, hội hè",0.3
5423,chứng minh,dùng suy luận vạch rõ một điều gì đó là đúng,0.0
5424,chửi,"dùng lời thô tục, cay độc để mắng người khác",-0.9
5425,úp,đặt sấp xuống dưới hoặc dựa sát vào vật khác,0.0
5426,chủ trì,điều khiển và chịu trách nhiệm một công việc,0.2
5427,chu cấp,giúp những thứ cần thiết để bảo đảm đời sống,0.7
5428,chờ,"mong đợi người hay sự việc sẽ tới, sẽ xảy ra",0.0
5429,gian lận,"có những mánh khoé, hành vi lừa lọc, dối trá",-0.9
5430,phụ lục,phần soạn thêm để bổ sung cho nội dung chính,0.0
5431,quýnh,"Cử chỉ vội vàng, lúng túng do mất bình tĩnh.",-0.6
5432,lễ giáo,"những điều giáo dục về lối cư xử, giao thiệp",0.5
5433,say mê,ham muốn và bị cuốn hút vào công việc nào đó,0.7
5434,lệnh lang,(từ cũ) từ để gọi con trai của nhà quyền quí,0.0
5435,sắc dục,"lòng ham muốn sắc đẹp, khoái lạc về tình dục",-0.3
5436,chúc,"tỏ lòng mong ước điều gì đó tốt đẹp, may mắn",0.8
5437,tưởng nhớ,"nghĩ đến với tình cảm thiết tha, quyến luyến",0.7
5438,kính cẩn,"tỏ rõ kính trọng bằng sự lễ độ, nghiêm trang",0.8
5439,tị hiềm,nghi ngờ nhau nên tránh các quan hệ với nhau,-0.7
5440,khuôn sáo,"mẫu định sẵn, được làm theo một cách máy móc",-0.5
5441,phát giác,thấy được việc làm phi pháp mà không ai biết,0.4
5442,tầng lớp,tập hợp một hoặc nhiều giai cấp trong xã hội,0.0
5443,trống cái,"trống lớn, hai mặt bịt da, thường treo ngang",0.0
5444,nốt,"cây leo lá giống lá trầu không, mùi thơm hắc",0.0
5445,trống tràng,"bệnh đi ngoài, thức ăn còn nguyên không tiêu",-0.7
5446,lóng ngóng,cử động vụng về như không tự điều khiển được,-0.6
5447,long trọng,với lễ nghi đầy đủ và không khí trang nghiêm,0.6
5448,phúc đức,vận may và điều tốt lành để lại cho con cháu,0.9
5449,trang phục,"quần áo riêng của một ngành, một nghề nào đó",0.0
5450,hổ phù,"hình mặt hổ, chạm, vẽ hoặc thêu để trang trí",0.0
5451,trạng nguyên,"người đỗ đầu trong khoa thi, thời phong kiến",0.8
5452,chuồng xí,chỗ được ngăn che sơ sài để làm nơi đại tiện,-0.2
5453,trăm ngày,lễ một trăm ngày sau ngày chết của một người,0.0
5454,trau dồi,làm cho phẩm giá con người ngày càng tốt hơn,0.8
5455,tổng tư lệnh,người chỉ huy cao nhất của quân đội một nước,0.0
5456,tổng tham mưu,cơ quan chỉ huy tối cao của quân đội cả nước,0.0
5457,liên danh,tập thể hai hay nhiều người cùng làm việc gì,0.3
5458,chiếm,lấy làm của mình bằng sức mạnh hay quyền thế,-0.6
5459,lộp bộp,"tiếng trầm, nặng như tiếng đập xuống đất mềm",0.0
5460,tổng hội,gồm nhiều hội thuộc cùng một ngành hoạt động,0.0
5461,măng,"cá nước ngọt, mình tròn, vảy trắng, đầu nhọn",0.0
5462,mắm nêm,"mắm làm bằng các loại cá nhỏ: cá cơm, cá nục",0.0
5463,láng cháng,"ghé mỗi nơi một chút, không mục đích rõ ràng",-0.4
5464,tông tích,"nguồn gốc, lai lịch và quá khứ của một người",0.0
5465,khung cảnh,"cảnh vật, sự kiện giới hạn trong một phạm vi",0.0
5466,chia lìa,"mỗi người một nơi, cách biệt hẳn; nhưchia ly",-0.7
5467,loang lổ,"có nhiều vết màu xen nhau lộn xộn, không đẹp",-0.7
5468,lềnh bềnh,nổi trên mặt và trôi nhẹ nhàng theo làn sóng,0.0
5469,sản dục,những phương pháp sinh đẻ và chăm sóc trẻ em,0.4
5470,sốt,nhiệt độ cơ thể tăng cao hơn mức bình thường,-0.6
5471,ngoại cảm,cảm nhận được nhờ vào một giác quan đặc biệt,0.0
5472,ân huệ,ơn to lớn mà người được hưởng nhớ mãi; xemơn,0.8
5473,mã vĩ,"cán dùng để kéo đàn, làm bằng lông đuôi ngựa",0.0
5474,mã tấu,"dao dài, to bản, mũi nhọn, dùng làm khí giới",-0.7
5475,khởi nghĩa,dân tộc bị áp bức đứng lên lật đổ một chế độ,0.6
5476,kích,"binh khí xưa, cán dài, mũi nhọn, dùng để đâm",-0.7
5477,liều mạng,"không kể gì, dù biết nguy hiểm đến tính mạng",-0.6
5478,hồng lâu,"nơi ở của phụ nữ làm nghề ca hát, thời trước",-0.4
5479,ngoại động,Đòi hỏi phải có bổ ngữ để nghĩa thêm đầy đủ.,0.0
5480,lấp liếm,át lời người khác hòng che giấu lỗi của mình,-0.8
5481,tóc máu,tóc của trẻ mới sinh cho đến khi cắt lần đầu,0.0
5482,nước nôi,"nước dùng cho sinh hoạt, sản xuất, nói chung",0.0
5483,tiểu nông,người nông dân tự sản xuất và tự làm chủ lấy,0.0
5484,tín nghĩa,"biết trọng lời hứa, đạo nghĩa với người khác",0.9
5485,hợp chất,chất gồm nhiều nguyên tử khác nhau tạo thành,0.0
5486,nhục mạ,nói những lời cay độc là cho người ta xấu hổ,-0.9
5487,bút pháp,lối dùng ngôn ngữ hoặc đường nét để viết văn,0.0
5488,sa trường,(từ cũ) chiến trường; nơi xảy ra chiến tranh,-0.9
5489,sa môn,từ để gọi những người xuất gia theo đạo Phật,0.0
5490,suy đoán,nghĩ ra điều chưa biết từ những điều đã biết,0.0
5491,sung công,nhập vào làm của công do nhà nước quyết định,-0.2
5492,sách giáo khoa,sách soạn theo chương trình dạy học ở trường,0.0
5493,ở vậy,sống độc thân hoặc không lấy vợ (chồng) khác,0.0
5494,cần vụ,nhân viên giúp việc riêng cho cán bộ cao cấp,0.0
5495,cấp,thứ bậc được xếp cao thấp trong một hệ thống,0.0
5496,tham nghị,"chức quan cấp phó ở bộ, tỉnh thời phong kiến",0.0
5497,tra hỏi,"truy hỏi gắt gao, dồn dập bắt nói ra sự thật",-0.7
5498,nhẹ nợ,không phải bù đắp cho người mình không thích,0.5
5499,mồi,con vật đưa ra để nhử con vật khác cùng loài,-0.3
5500,môi trường,"hoàn cảnh trong đó sinh vật sống, phát triển",0.0
5501,môi,"nếp thịt mềm, mỏng giao nhau ở hai mép miệng",0.0
5502,nhỏ,"có kích thước, hình dáng dưới mức trung bình",0.0
5503,mông,nhìn thẳng và xa như đang trông mong điều gì,0.1
5504,húng lìu,"bột gia vị chế biến từ hạt é, quế và hoa hồi",0.0
5505,ống bơm,"bơm hình trụ, dùng bơm không khí vào bánh xe",0.0
5506,lóc,dùng dao tách lấy lớp da thịt dính vào xương,0.0
5507,loanh quanh,"di chuyển, hoạt động trong phạm vi nhất định",0.0
5508,hủ nho,"người có học thức, tư tưởng lạc hậu, hẹp hòi",-0.6
5509,tiền duyên,"tình cảm, tình yêu có với nhau từ kiếp trước",0.7
5510,tiền bối,"người thuộc các thế hệ trước, được kính phục",0.6
5511,tiên đồng,người con trai nhỏ tuổi theo hầu các vị tiên,0.4
5512,ống nhòm,dụng cụ quang học để quan sát những vật ở xa,0.0
5513,phẩn,chất bài tiết của bộ máy tiêu hoá (như phân),-0.3
5514,tấp tểnh,"có cử chỉ, điệu bộ tỏ ra muốn thực hiện ngay",0.0
5515,tạ sự,(từ cũ) mượn cớ để làm việc không chính đáng,-0.7
5516,ruột,phần được coi là sức chịu đựng của con người,0.3
5517,ruốc bông,"ruốc làm bằng thịt nạt, giã nhỏ cho bồng lên",0.0
5518,ngấu,"(tương, mắm) đã ngấm muối và nhuyễn, ăn được",0.0
5519,sụt sùi,tiếng khóc nhỏ như cố nén nỗi đau trong lòng,-0.8
5520,than nâu,"than màu nâu đen, xốp và nhẹ, nhiều chất bốc",0.0
5521,than nắm,"than trộn với đất, nắm thành từng cục để đốt",0.0
5522,nói vuốt đuôi,giả vờ an ủi khi người ta gặp việc không may,-0.5
5523,ống khói,"cột trụ rỗng dẫn cho khói, bụi thoát lên cao",0.0
5524,cắt nghĩa,"giải thích cho rõ nghĩa, rõ nội dung điều gì",0.1
5525,dược học,khoa học nghiên cứu về thuốc phòng chữa bệnh,0.6
5526,câu chấp,"cứ theo ý cũ, không linh hoạt theo hoàn cảnh",-0.4
5527,óng ánh,"phản chiếu những tia sáng lấp lánh, dịu dàng",0.7
5528,sinh sát,quyền quyết định sự sống chết của người khác,-0.3
5529,vu oan,Đặt điều và gán tội làm cho người ta bị oan.,-0.9
5530,lưu niệm,"giữ lại những hình ảnh, tình cảm của quá khứ",0.5
5531,kẽ hở,khoảng trống nhỏ giữa hai chỗ tiếp giáp nhau,0.0
5532,mị dân,ra vẻ nịnh quần chúng để tranh thủ sự ủng hộ,-0.7
5533,pha-lê,thuỷ tinh trong và nặng hơn thuỷ tinh thường,0.0
5534,thành đinh,(từ cũ) người con trai đến tuổi trưởng thành,0.0
5535,sỉ,bán với số lượng lớn cho những người bán lại,0.0
5536,sẵn,đã được chuẩn bị để có thể sử dụng được ngay,0.0
5537,sai lầm,hậu quả không hay do lỗi của người phạm phải,-0.8
5538,vượng,Cơ thể thực hiện chức năng ngày một tốt hơn.,0.7
5539,đợt,"từng hiện tượng, sự việc xảy ra kế tiếp nhau",0.0
5540,rượu vang,rượu được cất bằng quả nho và để cho lên men,0.0
5541,quy vĩ,"phần rễ con của củ đương quy, dùng làm thuốc",0.3
5542,lối thoát,"tìm cách rút khỏi hoàn cảnh bế tắc, nguy nan",0.7
5543,thiên kiến,"ý kiến sai lệch về một bên, thiếu khách quan",-0.7
5544,mào,phần lông hay thịt mọc ở đầu một số loài vật,0.0
5545,mao mạch,mạch máu nhỏ nối liền động mạch và tĩnh mạch,0.0
5546,thủ tướng,người đứng đầu một chính phủ của một số nước,0.0
5547,xâm lược,"Cướp đoạt chủ quyền bằng vũ lực, quyền hành.",-0.9
5548,sộp,"hào phóng, sang trọng trong chi tiêu, ăn mặc",0.6
5549,tại chức,"hình thức vừa công tác, lao động vừa học tập",0.0
5550,tà dâm,thú vui bất chính về xác thịt giữa nam và nữ,-0.8
5551,xen,Tham gia vào chuyện không dính líu đến mình.,-0.4
5552,thái cổ,thời kì xa xưa nhất trong lịch sử loài người,0.0
5553,thúng mủng,"thúng và các đồ đựng đan bằng tre, nói chung",0.0
5554,kẹo,"món ăn ở dạng viên, thỏi làm bằng đường, mật",0.1
5555,thuế đinh,thuế thân của người dân đinh thời phong kiến,0.0
