tu,dinh_nghia
lồ,"đồ đựng bằng tre, giống cái bồ, mắt thưa"
lều chõng,cảnh đi thi của thí sinh thời phong kiến
tưởng vọng,"hướng về với tình cảm thiết tha, sâu sắc"
khắp,tên một làn điệu dân ca của dân tộc Thái
Phật tử,"tín đồ của đạo Phật, người theo đạo Phật"
phật tử,"tín đồ của đạo Phật, người theo đạo Phật"
trượng,"gậy để đánh người bị xử phạt, thời trước"
trưởng phòng,người điều khiển công việc của một phòng
đâm,đưa vật nhọn chạm mạnh vào làm cho thủng
sư huynh,từ tăng ni gọi người có tuổi đạo cao hơn
nhu động,ống tiêu hoá co bóp để nhào trộn thức ăn
sư phụ,"từ học trò gọi thầy dạy, thời phong kiến"
rửa tội,làm lễ công nhận một người vào Công giáo
rụng rời,chân tay như rã rời do mệt hoặc khiếp sợ
sự kiện,sự việc xảy ra với tầm quan trọng nào đó
qua,hướng hoạt động từ bên này sang bên kia
lêu têu,"lười biếng, không có cuộc sống đứng đắn"
muôn đời,"từ đời này qua đời khác, mãi mãi về sau"
xử trí,Áp dụng biện pháp đối với người có tội.
miễn nghị,"toà án bác bỏ, không xét hỏi một bản án"
ác thú,"thú dữ, vóc dáng cao lớn, làm hại người"
loạc choạc,có những bộ phận không ăn khớp với nhau
khoắng,khuấy theo đường tròn bằng đũa hoặc gậy
Khuynh thành,sắc đẹp phụ nữ làm cho người ta mê muội
khuynh thành,sắc đẹp phụ nữ làm cho người ta mê muội
chứng,4. cái dựa vào để làm căn cứ là có thật
giáo học,"người dạy cấp tiểu học, thời Pháp thuộc"
mê hoặc,"làm cho mất tỉnh táo, mù quáng tin theo"
trai lơ,"lẳng lơ, dễ dãi trong quan hệ yêu đương"
nghiêm phụ,(từ cũ) người cha (không dùng xưng gọi)
nghiệp vụ,công việc chuyên môn của một ngành nghề
tội,"đáng thương, làm người khác phải xót xa"
êm dịu,"êm ái và dịu dàng, tạo cảm giác dễ chịu"
triệt để,"đến mức độ cao nhất, không thể vượt qua"
lệnh ái,(từ cũ) từ để gọi con gái nhà quyền quí
phân quyền,quyền hành tách rời chứ không tập trung
trắng dã,"người thông minh nhưng độc ác, bất nhân"
tuyển binh,lựa chọn người có sức khoẻ vào quân đội
ống chân,phần của chi dưới từ đầu gối đến mắt cá
ngoại trú,không ở lại trong trường hoặc bệnh viện
ngoặc,kéo lại hoặc kéo xuống bằng một cái móc
tàn hương,nốt nhỏ sẫm màu nổi lấm tấm trên da mặt
rượu chổi,"rượu cất bằng cây thanh hao, để xoa bóp"
thiết nghĩ,"có ý kiến trao đổi, suy xét tho ý riêng"
huyết áp,áp suất của máu trong các động mạch lớn
tiền đạo,cầu thủ có nhiệm vụ chủ yếu là tấn công
húng,"cây cùng loại bạc hà, dùng làm rau thơm"
khai trừ,loại trừ thành viên ra khỏi một tổ chức
phơi,"trải ra, giăng lên ở chỗ thoáng cho khô"
nghỉ việc,"thôi, không tiếp tục công việc đang làm"
chặp,khoảng thời gian ngắn; xemchập(nghĩa 1)
tam thức,(toán học) đa thức đại số có ba số hạng
thuyền nan,"thuyền đan sít bằng nan tre, có ken sơn"
kẻ cả,người ở địa vị cao hơn những người khác
cổ trướng,"bệnh khiến bụng to ra, thường do xơ gan"
năng động tính,tự thúc đẩy bản thân hoạt động tích cực
vun,Dồn các vật rơi lại một chỗ thành đống.
nội thương,"những bệnh do lo nghĩ, sầu muộn sinh ra"
nông nổi,"nông cạn, thiếu cân nhắc trong suy nghĩ"
nhất tề,cùng nhau phối hợp ăn ý khi làm việc gì
ông táo,thần cai quản việc bếp núc của gia đình
tiết túc,tên chung các động vật không xương sống
thiết tưởng,"suy xét, khẳng định ý kiến theo ý riêng"
thủ tiêu,"từ bỏ, lẩn tránh những hoạt động nào đó"
chuyên chính,sự thống trị của một hay nhiều giai cấp
chuyến,phen xảy ra sự việc ít nhiều quan trọng
thuộc viên,"viên chức nhỏ thời phong kiến, thực dân"
hắt,bị đổi chiều do sức gió hay gặp vật cản
công luận,ý kiến chung của mọi người trong xã hội
nhao,"di chuyển nhanh, đột ngột về phía trước"
nhào lộn,"lao lên, nhào xuống nhiều lần liên tiếp"
tính khí,"tính tình, khí chất riêng của mỗi người"
hỗn hống,hợp kim của kim loại khác với thuỷ ngân
gà tồ,"người to xác nhưng ngờ nghệch, khờ khạo"
tín,đặc tính biết trọng lời hứa và tin nhau
thúc giáp,"(từ cũ) đình chiến, không đánh nhau nữa"
nước đá,nước ở  trạng thái rắn do được làm lạnh
sinh sản,"chức năng duy trì, phát triển nòi giống"
làm chứng,kể lại và xác nhận những điều mình biết
làm dáng,"làm cho cử chỉ, điệu bộ trở nên đẹp hơn"
thắng lợi,kết quả đạt được như mong muốn của mình
tài cán,khả năng làm giỏi công việc (ý mỉa mai)
kính râm,"kính màu tối, đeo ở mắt để khỏi bị chói"
nhắc nhở,phê bình nhẹ khuyết điểm của người khác
non tay,"khả năng nghề nghiệp, bản lĩnh còn thấp"
nóng,nhiệt độ cao hơn so với mức bình thường
công thương,"công nghiệp và thương nghiệp, nói chung"
giao binh,(từ cũ) hai quân đội giáp mặt đánh nhau
phơi phới,"trên hướng phát triển, dâng lên mạnh mẽ"
phụ mẫu,"bọn quan lại một địa phương, thời trước"
sa sầm,"bỗng nhiên biến đổi thành nặng nề, u ám"
rắn rết,các loài bò sát gây nguy hiểm cho người
lang,có nhiều vết màu khác nhau trên bộ lông
nghèo ngặt,khó khăn đến mức khó tìm thấy lối thoát
lạc quan,có lòng tin tưởng vào cuộc sống tốt đẹp
lai máu,động vật sinh ra từ hai giống khác nhau
nát nhàu,không còn phẳng phiu; có nhiều nếp nhăn
nước ngầm,nước chứa trong các mạch kín ở dưới đất
công văn,"thư từ, giấy tờ giao thiệp về việc công"
hội chứng,các triệu chứng cùng xuất hiện của bệnh
beo,giống báo nhỏ có bộ lông màu đỏ như lửa
trí tuệ,khả năng nhận thức đạt đến trình độ cao
làm ruộng,làm việc để tạo ra sản phẩm nông nghiệp
boong,sàn ngăn chia tàu thuỷ thành nhiều tầng
thăng quan,(từ cũ) thăng chức trong ngạch quan lại
thuyết phục,làm cho người ta thấy đúng mà nghe theo
trăng,mặt trăng phản chiếu ánh sáng xuống đất
thừa hưởng,được quyền sở hữu của người khác để lại
quen thói,nhiễm tính xấu lâu ngày khó mà sửa được
trám trắng,"loài trám quả có cùi vàng nhạt, ăn được"
mắt,cơ quan thị giác của người hay động vật
cù lao,"khoảng đất nổi lên giữa biển, sông; đảo"
sự,từ có tác dụng sự vật hoá một hoạt động
tháo chạy,"chạy thật nhanh, tránh xa một nguy hiểm"
thợ rèn,người chuyên rèn sắt nung thành đồ dùng
tròng trắng,Phần màu trắng trước màng cứng cầu mắt.
cứu tinh,đưa người khác thoát khỏi cảnh nguy nan
sám hối,"đau xót, hối hận về tội lỗi mình đã làm"
lá mía,"miếng sụn mỏng, chia mũi làm hai khoang"
nhí nhoẻn,"cười nói luôn miệng, trở thành vô duyên"
trầu thuốc,số tiền tặng người đã giúp mình việc gì
học tập,học và luyện tập để áp dụng vào thực tế
thương xót,đau lòng vì nỗi bất hạnh của người khác
gắng sức,đem sức ra nhiều hơn bình thường để làm
gán,ép người nào đó nhận cái mà họ không có
trung tá,"bậc quân hàm dưới đại tá, trên thiếu tá"
nội chính,việc điều hành hoạt động trong một nước
danh nghĩa,"nội dung gắn liền với cương vị, tư cách"
danh sách,"tên được ghi theo thứ tự, thành cột dọc"
xén,Lấy bớt một phần để dùng vào việc khác.
mục kỉnh,kính đeo mắt cho người già hoặc cận thị
lạnh ngắt,"rất lạnh, như không còn chút hơi ấm nào"
ngang bướng,"không chịu nghe ai, dù biết là sai trái"
quần tụ,"tập trung lại để cùng làm ăn, sinh sống"
bầy,động vật cùng loài sống tập hợp một chỗ
gác bỏ,"để sang một bên, không quan tâm đến nữa"
khăm,(khẩu ngữ) độc ác bằng thủ đoạn kín đáo
phiền lòng,cảm thấy không yên lòng một điều trái ý
trung sĩ,"bậc quân hàm dưới thượng sĩ, trên hạ sĩ"
dao động,những quá trình lặp lại gần đúng như cũ
trước,phía mà mắt nhìn thẳng có thể thấy ngay
đặt,"để một người, một vật để vào một vị trí"
khăn chữ nhất,"khăn đội đầu, có nếp thẳng như chữ nhất"
quan lại,những người trong bộ máy chính quyền cũ
sính,"thích đến mức quá đáng, tỏ ra hơn người"
trung diệp,khoảng giữa một triều đại hay thời gian
trung gian,người giữ vai trò môi giới giữa hai bên
trúc đào,"cây nhỡ, lá có hoạt chất dùng làm thuốc"
họ hàng,những vật có quan hệ nguồn gốc với nhau
tiến cử,giới thiệu người có khả năng để sử dụng
nồi rang,"Nồi bằng đất nung để rang ngô, lạc,...."
hoa lợi,phần thu hoạch được trên đất trồng trọt
nội thần,(từ cũ) chức quan hầu hạ trong cung vua
trú dân,đến ở tạm một nơi cho qua bước khó khăn
thổ,"(từ cũ) đất để làm vườn, xây dựng nhà ở"
mạch lạc,"quan hệ chặt chẽ, hợp lý trong nội dung"
bộ đồ,dụng cụ cần thiết của người làm nghề gì
thối tai,"bệnh chảy mủ phía trong tai, có mùi hôi"
nhuộm,làm đổi màu bằng một thứ thuốc tổng hợp
quằn,cong hoặc méo vì chạm phải vật cứng hơn
sư,"người tu hành theo đạo Phật, ở tại chùa"
nến,"vật tròn, dài để thắp sáng, giữa có bấc"
nét,chi tiết cần chú ý để tạo nên cái chung
dằn,nhấn mạnh từng tiếng tỏ thái độ giận dữ
lính tập,"lính người Việt Nam, thời thực dân Pháp"
rộng rãi,"đem đến cho nhiều người, nhiều nơi biết"
rũ rượi,"khóc hay cười nhiều, không kìm nén được"
nằm khàn,"quá nhàn rỗi, không có công ăn việc làm"
lẽo đẽo,"đi vất vả, mệt nhọc trên quãng đường xa"
thổ ngữ,tiếng nói dùng ở một địa phương nhỏ hẹp
từ vựng,tập hợp toàn bộ các từ của một ngôn ngữ
diệt,tiếng hô cho trâu bò đi ngoặc sang phải
dinh điền,chiêu tập dân nghèo khai khẩn đất hoang
niêm luật,các quy tắc bằng trắc làm thơ và phú cổ
niên đại,"năm tháng, xảy ra những sự kiện lịch sử"
tín nhiệm,xứng đáng được giao một nhiệm vụ nào đó
niềng niễng,"loài sâu bọ cánh cứng, sống ở dưới nước"
tư bản khả biến,bộ phận tư bản dùng để mua sức lao động
dị đoan,điều huyền hoặc khiến người ta tin theo
phi đội,đội máy bay hoạt động nhằm một mục tiêu
liếm,đưa đầu lưỡi qua lại trên bề mặt vật gì
liệm,bọc xác chết trước khi cho vào quan tài
són,tiểu tiện hoặc đại tiện chút ít ra quần
te,"dụng cụ đan bằng tre, để xúc bắt tôm cá"
lãng tử,người thích cuộc sống lang thang đây đó
lãnh tụ,"người lãnh đạo một chính đảng, một nước"
cưỡng dâm,ép phụ nữ phải để cho thoả mãn tính dục
tứ thời,"bốn mùa, quanh năm: xuân, hạ, thu, đông"
hành tung,"dấu vết của một việc làm, một hành động"
nhựa,mủ hoặc chất dính do một số cây tiết ra
tiu,"đánh mạnh quả bóng (quần vợt, bóng bàn)"
tồn vong,còn hay mất (nói vận mệnh của một nước)
vấn đề,Điều cần được nghiên cứu và giải quyết.
chuyên,rót trà từ chén tống sang các chén quân
lên khuôn,sắp xếp các bài báo vào vị trí khuôn in
chụm,đặt sát vào nhau để quây quanh một điểm
phỏng đoán,"đoán chừng, không trên cơ sở nào cụ thể"
ung thư,"u ác tính, thường di căn và gây tử vong"
cẩu,phương tiện cơ giới để nâng chuyển hàng
sông cái,sông lớn tiếp nhận nhiều nhánh sông nhỏ
vành tai,Phần có hình khum ở phía ngoài của tai.
uy quyền,quyền lực to lớn khiến người khác nể sợ
khỉ gió,tiếng rủa một cách thân mật khi bực tức
lắng đắng,có vướng mắc không giải quyết ngay được
mới,"vừa có nghề nghiệp, địa vị,... chưa lâu"
vong linh,Phần vô hình còn lại của người đã chết.
song ẩm,ấm chuyên để pha trà cho hai người uống
guốc,"đồ dùng bằng gỗ, có quai để mang ở chân"
chống trả,phản công một cách mạnh mẽ; nhưchống cự
nhập siêu,hàng nhập khẩu nhiều hơn hàng xuất khẩu
vị lai,Thời gian chưa đến; xemchủ nghĩa vị lai
nội thuộc,chịu lệ thuộc vào một nước khác lớn hơn
dung dịch,hỗn hợp chất lỏng chứa một chất hoà tan
thị giác,"cảm giác về màu sắc, hình thể, ánh sáng"
thiên lôi,"thần sấm sét, tưởng tượng của người xưa"
thiên hạ,toàn thể xã hội nói chung trên trái đất
gò má,phần nổi cao lên dưới góc ngoài của mắt
quốc tịch,được công nhận là công dân của một nước
sóng gió,"những khó khăn xảy ra đột ngột, bất ngờ"
tráng miệng,ăn hoa quả hoặc đồ ngọt ngay sau bữa ăn
chỉ định,"chọn, giao cho một người để làm việc gì"
chém,"làm đứt ra bằng dao, gươm bỗ mạnh xuống"
nhân hoà,lòng tin và sự hoà thuận giữa mọi người
góc phụ,hai góc cộng lại thì được một góc vuông
sống sượng,"thiếu sự tế nhị, phép lịch sự tối thiểu"
khiếu,"lỗ trên cơ thể người, từ gọi của đông y"
lộng hành,"lấn quyền người khác, bất chấp kỉ cương"
tần ngần,do dự chưa biết phải quyết định thế nào
tần phiền,"gây bực bội, phiền nhiễu cho người khác"
chạy chọt,"cầu cạnh, nhờ vả để xin lo liệu việc gì"
mệnh trời,"số phận do trời quyết định, theo mê tín"
nhãn lồng,"nhãn quả to, cùi dày, mọng nước và ngọt"
yêu ma,"Ma quỷ, yêu quái; kẻ độc ác, ranh mãnh."
chầu chực,"ở bên cạnh để chờ sự sai khiến, phục vụ"
dùi,"vật bằng gỗ, dùng để đánh trống, chiêng"
cân đối,"làm cho ngang nhau, tương xứng với nhau"
nhạc trưởng,người sắp xếp chuyên môn trong dàn nhạc
ba gai,"(khẩu ngữ) người bướng bỉnh, hay gây gổ"
khoa trưởng,chủ nhiệm khoa trong một trường đại học
luận nghĩa,tìm hiểu ý nghĩa của câu văn hay các từ
mừng,chia sẻ niềm vui bằng lời hay tặng phẩm
mốt,từng đơn vị số đếm từ hàng chục trở lên
ôm,giữ sát vào người bằng hai tay vòng qua
soái phủ,"dinh của tổng đốc Nam Kì, thời thực dân"
trấn tĩnh,giữ cho khỏi bối rối; lấy lại bình tĩnh
bé,kích thước nhỏ hơn so với cái cùng loại
bậy,"sai trái, càn rỡ không kể gì khuôn phép"
rẫy,coi như không có quan hệ và trách nhiệm
thể chất,tình hình sức khoẻ của cơ thể con người
thể nào,"chắc chắn sẽ xảy ra, không thể nào khác"
kho tàng,"nơi cất giữ của cải vật chất, nói chung"
cắn,làm cho đau bằng hai hàm răng khép mạnh
bất hủ,"mãi mãi, không bao giờ mất; nhưbất diệt"
trình diện,đến cho nhà chức trách biết mình có mặt
trích đăng,lấy một phần của tác phẩm để in lên báo
bản chất,tính chất sẵn có bên trong; nhưbản tính
nhà thông thái,người có kiến thức sâu rộng về khoa học
cấm khẩu,không nói được do bệnh chuyển biến nặng
song sinh,"sinh đôi, cùng phát triển trong bụng mẹ"
trỗi,nổi lên mạnh mẽ để giành lại cái đã mất
đá vàng,"(cũ) sự gắn bó, bền vững trong tình cảm"
lương thực,"thức ăn hàng ngày gồm gạo, bột, ngô,..."
thầy bói,"người chuyên nghề bói toán, theo mê tín"
thầy dòng,người tu hành mà không phải là linh mục
quỷ thần,các vị thần do con người tưởng tượng ra
hơ hớ,"tiếng cười thoải mái, không cần giữ gìn"
ngày giỗ,kỷ niệm ngày qua đời của một người thân
bế mạc,"kết thúc một cuộc họp, cuộc hội nghị..."
bịa,đặt ra chuyện như có thật trong thực tế
Cát pha,đất nhiều hạt cát hơn các loại hạt khác
Đào nguyên,"cảnh đẹp nơi tiên ở, theo truyền thuyết"
đào nguyên,"cảnh đẹp nơi tiên ở, theo truyền thuyết"
quá giang,rầm bắc song song để đỡ kết cấu mái nhà
nản chí,"thiếu kiên trì trước khó khăn, thất bại"
áng,"từng đơn vị; có vẻ đẹp lộng lẫy, rực rỡ"
gạo tẻ,"gạo nấu cơm hàng ngày, hạt nhỏ, ít nhựa"
buồn,cảm giác khi bị kích thích trên da thịt
trù tính,"tính toán, cân nhắc trước khi thực hiện"
gió chướng,gió thổi trái với quy luật thông thường
bồng bột,"sôi nổi, hăng hái, nhưng thiếu suy nghĩ"
bảo quản,"giữ gìn, chăm cho khỏi hư hỏng, hao hụt"
báo động,cho biết tình hình nguy hiểm sắp xảy ra
chậm tiến,trình độ phát triển thấp so với yêu cầu
ngữ đoạn,nhóm tạo thành một đơn vị trong một câu
ban thưởng,cấp trên tặng thưởng cho người cấp dưới
thấp kế,(vật lý) dụng cụ đo độ ẩm của không khí
lừa đảo,"dùng thủ đoạn để chiếm tài sản, của cải"
rặn,gượng gạo lắm mới nói hoặc viết ra được
lối lăng,"cách thức xử trí không hợp tình, hợp lý"
bắt bẻ,đưa ra lí do để chê trách và gây khó dễ
người dưng,người không có quan hệ họ hàng với mình
cả gan,"liều lĩnh, dám làm những việc nguy hiểm"
lỗ chân lông,"lỗ rất nhỏ ngoài da, nơi mồ hôi tiết ra"
quy chính,"trở lại với cái ngay thẳng, lương thiện"
quy định,"định ra để theo, để tiến hành thực hiện"
phú hào,"kẻ giàu có ở nông thôn, thời phong kiến"
mai phục,"giấu quân sẵn, chờ địch qua thì đánh úp"
màn xế,tàu thuỷ dừng lại lấy khách tại một bến
tái phát,bệnh phát lại sau thời gian thuyên giảm
ấn,ép người khác phải làm việc theo ý mình
trừng trị,dùng hình phạt nặng nề để trị kẻ có tội
rạo rực,"rộn lên những ý nghĩ, cảm xúc không yên"
truy phong,(từ cũ) ban chức tước cho người đã chết
thắp,ống lắp vào đầu bút nho để giữ gìn ngòi
sấm sét,"sấm và sét, hiện tượng trước khi có mưa"
đậu phụ,"món ăn làm bằng đậu nành, ép thành bánh"
áp,đặt một vật sát bề mặt của một vật khác
dâm,tính ham muốn tình dục không chính đáng
ăn giỗ,ăn uống trong ngày kị một người đã chết
giấy trang kim,giấy có tráng một lớp đồng mỏng óng ánh
ăn nhịp,"hoà hợp với nhau về nhịp điệu, tiết tấu"
thạo,thực hiện nhanh nhẹn và đúng do đã quen
hiên ngang,"tự tin, vững vàng trước những sự đe doạ"
phiến loạn,bạo động vũ trang chống lại chính quyền
Cát đằng,những cây leo sống nhờ vào những cây to
ngói chiếu,ngói phẳng để lót ở dưới mái ngói ngoài
vá víu,"Thêm, bớt sửa chữa để đối phó tạm thời."
ngòi bút,"vật kim loại đầu nhọn, để viết bằng mực"
lém,"tỏ ra tinh khôn trong cách ăn, cách nói"
vù,Có tiếng của vật gì bay qua thật nhanh.
cặn,chất trong nước lắng xuống đáy vật đựng
sắp,làn điệu dùng để đối đáp trong hát chèo
vô sự,"Không gặp phải điều gì rủi ro, tai hại."
hào nhoáng,đẹp vẻ bề ngoài có tính chất phô trương
xứng đáng,"Có đủ phẩm chất, tư cách để được hưởng."
dâm ô,"những thú vui xác thịt xấu xa, bẩn thỉu"
xa xỉ,"Tốn nhiều tiền vô ích, không cần thiết."
tụ họp,đến cùng một nơi với mục đích nhất định
tư vấn,góp ý kiến về những vấn đề được hỏi đến
trầm ngâm,"dáng vẻ lặng lẽ, đang ngẫm nghĩ điều gì"
sở hữu,"sử dụng, hưởng thụ theo ý muốn của mình"
phúc âm,từ đạo Thiên Chúa dùng chỉ sách Tân ước
mặc cảm,buồn vì nghĩ rằng mình không bằng người
trôi,"thuận lợi, không gặp khó khăn, trắc trở"
nghê thường,(từ cũ) xiêm áo có màu như sắc cầu vồng
úi,nổi lờ đờ trên mặt nước vì lí do nào đó
ngói,tấm đất sét nung hay xi-măng để lợp nhà
tự thừa,(toán học) một số nhân lên với chính nó
u uất,tức tối trong lòng mà không nói ra được
từ tốn,"có lời nói, cử chỉ nhẹ nhàng, thong thả"
lực lưỡng,"có vóc dáng to, có sức mạnh thế lực lớn"
ghẻ cóc,bệnh nổi những nốt đen sần sùi ngoài da
miễn sai,"không phải đi sưu dịch, thời phong kiến"
già gan,"bạo dạn, can đảm, không chịu khuất phục"
thướt tha,"cao và chuyển động mềm mại, uyển chuyển"
sao sao,"động vật thân mềm, vỏ cứng, sống ở biển"
thuận hoà,thời tiết thuận lợi cho việc trồng trọt
gờn gợn,có những vệt nhỏ làm cho mất bằng phẳng
thuận lợi,"có điều kiện tốt, dễ dàng cho hoạt động"
âu phục,quần áo may theo kiểu của người châu Âu
giáo hoàng,chức vụ cao nhất của giáo hội Công giáo
tiên thề,(từ cũ) lời thề viết trên giấy hoa tiên
binh sĩ,"lính và hạ sĩ quan; quân đội, nói chung"
rựa,"dao có sống dày, mũi bằng, để chặt, chẽ"
ngoại,khoa y chuyên chữa bệnh bằng phẫu thuật
ngọng,phát âm sai do có tật hoặc nói chưa sõi
kiêu căng,"kiêu ngạo, khinh người một cách lộ liễu"
khủng hoảng,"rối ren, mâu thuẫn chưa được giải quyết"
thương binh,quân nhân bị thương trong khi chiến đấu
bìu,phần mềm phía trước cổ của bệnh bướu cổ
phạm nhân,người vi phạm pháp luật đang bị ngồi tù
khấu trừ,trừ bớt một phần để bù vào khoản nào đó
thượng quốc,tiếng của nước nhỏ gọi tôn nước lớn hơn
co,"loài cây mọc dại ở ruộng, có củ ăn được"
thương tá,chức quan ở một tỉnh thời thực dân Pháp
cạm bẫy,lừa cho người ta sa vào vòng nguy hiểm
lộ xỉ,"răng mọc chìa ra, khi cười, nói hở lợi"
long não,"cây to, lá, vỏ và gỗ dùng cất tinh dầu"
xưng tội,Tự kể tội lỗi của mình trước linh mục.
xử,"Giải quyết việc tố tụng, phạm pháp,..."
than xanh,năng lượng của sóng biển và thuỷ triều
mỏng tai,hay tò mò nghe ngóng chuyện người khác
xỉa,Xen vào việc không liên quan đến mình.
phục dịch,đem sức lao động để phục vụ người khác
ruộng mạ,ruộng gieo thóc giống cho mọc thành mạ
ruộng,"đất dùng vào việc trồng trọt, canh tác"
râu quai nón,râu mọc suốt từ cằm đến tận thái dương
nâu sồng,quần áo của nhà chùa hay người dân quê
lạnh lùng,"thiếu tình cảm trong quan hệ, tiếp xúc"
xét hỏi,"Tìm hiểu, hỏi kĩ sự thật qua lời khai."
nang,"bộ phận giống cái bao, dùng để bao bọc"
kiên trinh,"giữ vững lòng trung, trước sau như một"
nguy hiểm,có thể gây tai hại tính mạng con người
thầy tướng,người chuyên xem tướng để đoán số mệnh
khủng hoảng thừa,sản xuất quá nhiều so với sức tiêu thụ
thạch học,"khoa học nghiên cứu, mô tả các loại đá"
quả phúc,kết quả tốt lành của sự làm việc thiện
bu,"lồng đan bằng tre, nứa để nhốt gà, vịt"
thẩu,"lọ bằng thuỷ tinh, miệng rộng, cổ ngắn"
lườm,"nhìn về một bên, tỏ ý tức giận, đe doạ"
tái sinh,"sinh lại kiếp khác, quan niệm luân hồi"
lượng sức,cân nhắc xem sức mình có làm nổi không
phụ cấp,khoản tiền trả kèm vào mức lương chính
chiến thắng,thắng lợi giành được trong chiến tranh
thánh sư,ông tổ của một học thuyết hay một nghề
sửa sai,làm lại theo đúng đường lối chính sách
tấm tức,không nén được nỗi bức bội hoặc oan ức
tâm niệm,luôn nghĩ tới và tự nhắc mình phải nhớ
nai lưng,ra sức mà làm hoặc kiên nhẫn chịu đựng
tế bào,đơn vị cấu tạo nên các cơ thể sinh vật
khuyết điểm,"điều sai sót trong hành động, suy nghĩ"
sót,còn rớt lại hoặc thiếu một phần nào đó
khoai chuối,"loài cây lá giống lá chuối, củ ăn được"
lớ xớ,lảng vảng nơi không liên quan đến mình
khoảng,phần nhỏ của không gian hoặc thời gian
phòng dịch,giữ gìn để ngăn ngừa bệnh truyền nhiễm
tán gẫu,nói những chuyện không mục đích để vui
khoáng địa,"đất trống, không người ở và trồng trọt"
khẩu ngữ,lời nói dùng trong cuộc sống hàng ngày
leo dây,bám vào cái dây căng thẳng mà vươn lên
soi,nhìn cho rõ hơn bằng dụng cụ quang học
luật học,môn học chuyên nghiên cứu về pháp luật
nài ép,"cố ép, buộc người khác làm theo ý mình"
liếm láp,kiếm chác tiền của một cách đáng khinh
thiếu bảo,(từ cũ) một chức quan trong triều đình
tập dượt,hướng dẫn để trở nên tốt và thành thạo
thi xã,nhóm người làm thơ cùng một chủ trương
thi hứng,nguồn gốc cảm xúc của sức sáng tạo thơ
thời khắc,"thời gian, thời điểm có ý nghĩa nào đó"
ngã ngũ,"đi đến một kết luận rõ ràng, dứt khoát"
so,đặt kề nhau để xem khác nhau bao nhiêu
khay đèn,đồ dùng đựng đèn và đồ hút thuốc phiện
thông nghĩa,"nghĩa thông thường, mọi người đều hiểu"
thông hành,giấy chứng thực cấp cho người đi đường
thổ âm,giọng nói đặc trưng của một địa phương
thải hồi,"đưa ra khỏi một công việc, một chức vụ"
phế nhân,người mất khả năng làm việc do tàn tật
lật ngửa,làm cho một người nằm sấp phải ngửa ra
khẩu độ,koảng cách giữa hai đầu mũi của com-pa
lên cơn,triệu chứng của bệnh bắt đầu xuất hiện
lệ thuộc,"phụ thuộc vào một người, một hoàn cảnh"
mãi lộ,nộp tiền cho bọn cướp đường thời trước
phẩm hạnh,tính nết biểu hiện phẩm giá của phụ nữ
làm đỏm,"chải chuốt, trang điểm để gây sự chú ý"
làm chủ,có quyền sở hữu đối với tài sản nào đó
ngáy,"thở thành tiếng đều đều, trong khi ngủ"
sinh sự,"chuyên gây ra chuyện rắc rối, lôi thôi"
luận điểm,"ý kiến, quan điểm chủ yếu trong vấn đề"
quản cơ,chức vụ trong quân đội thời phong kiến
quản,chức vụ trong quân đội thời Pháp thuộc
chuôi,cán ngắn để cầm nắm của một số dụng cụ
thu ba,ánh mắt long lanh của người phụ nữ đẹp
thắc mắc,"có điều chưa hiểu, cần được giải thích"
phần thưởng,"vật tặng người có công lao, thành tích"
thành lập,tiến hành những bước xây dựng đầu tiên
thực tại,toàn bộ những gì đang tồn tại quanh ta
tay nải,"túi vải dùng đựng đồ nhẹ, đeo trên vai"
nghe trộm,nghe lén những điều người ta muốn giấu
thuốc tẩy,"hoá chất dùng tẩy sạch các chất ố, bẩn"
thấp thoáng,"thoáng hiện rồi lại biến đi, nhiều lần"
màn cửa,tấm vải hoặc tấm ren treo ở cửa ra vào
thùng,đồ đựng sâu lòng bằng kim loại hoặc gỗ
kèn hát,máy hát thời trước có loa hình cái kèn
pháp trường,nơi hành hình những người bị kết án tử
mái,phần mặt đất thoai thoải giống mái nhà
ơ,con chữ thứ mười chín của bảng chữ cái
tạp chủng,giống được lai từ hai cá thể khác loài
săn đón,"tỏ thái độ ân cần, niềm nở để lấy lòng"
nghĩ,"vận dụng trí tuệ để nhận biết, tìm tòi"
nghỉ ngơi,tạm dừng chân tay để hồi phục sức khoẻ
nghỉ hè,thời gian sau khi kết thúc một năm học
khích lệ,"khuyến khích cho hăng hái, cố gắng hơn"
thượng sách,biện pháp hay nhất trong các phương kế
thết,mời đến ăn bữa cơm để tỏ sự thân thiết
phàm nhân,"người tầm thường, quan niệm phong kiến"
khóc,chảy nước mắt vì xúc động hoặc đau đớn
thực trạng,khác với tình hình nhìn thấy bên ngoài
tiều phu,(từ cũ) người đàn ông làm nghề đốn củi
máu cam,máu chảy từ mũi (không do chấn thương)
tang bồng,"cung bằng gỗ dâu, mũi tên bằng cỏ bồng"
ngồi xổm,"ngồi gập chân lại, mông không chấm chỗ"
kết án,toà tuyên bố hình phạt bằng một bản án
kế tập,(từ cũ) thừa hưởng tước vị của ông cha
thỉnh giáo,mong người dạy bảo (lời nói khiêm tốn)
tiết độ sứ,"chức quan ở Trung Quốc, cuối đời Đường"
con đỡ đầu,được người hơn tuổi nâng đỡ và che chở
tiền triết,"một học giả thông kim bác cổ, thời xưa"
khám xét,tìm tang chứng của hành động phạm pháp
khai trương,"bắt đầu mở cửa để kinh doanh, sản xuất"
